| 北上资金策略要素表（相关数据更新至2023.07.31） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
| -0.43% | | 200009350000 |
| -1.39% | 9945 | 4962555 |
| -1.18% | 40000 | 20220000 |

| 所有股票动向 | 超级大单 | - | 拖拉机单 | 主力撤单 |
|-|-|-|-|-|
| 凹买入 | | | 卖出 | |
| 查看解释 | 卖单（次数） | | 涨幅 | 卖单（总量） |
| 6 | | 明细 | 0.00% | 1000 |
| 3 | | 明细 | -0.68% | 1000 |
| 8 | 2 | 明细 | -0.43% | 2000 |
| |              | 明细 | -1.39% | 994 |
| 2 | 4 | 明细 | -1.18% | 4000 |
| 提示时间 | 卖单（总量） | 卖单（总额） |
|-|-|-|
| 14：50 | 10000 | 5340000 |
| 14：36 | 40000 | 21480000 |
| 14：30 | 20000 | 10780000 |
| 14：23 | 30000 | 16200000 |
| 09：51 | 10000 | 5320000 |

次一交易日，腾票111

提示时间卖单(总量)卖单(总额）13:529935522581011:2310000528000011:2210000529000011:20100005300000

一K吉K

5.49+2.43%

5日日K周K月K

5.49+2.43%

主力撤单

| 所有股票动向 | 超级大单 | - | 拖拉机单 | 主力撤单 |
|-|-|-|-|-|
| | 凹买入 | | | 凹卖出 |
| 查看解释 | 提示时间 | 买单（次数） | | 涨幅 |
| | 14：40 | 4 | 明细 | |
| | 14：40 | 2 | 明细 | -0.59% |
| | 14：40 | 1 | 明细 | -3.24% |
| | 14：36 | 7 | 明细 | -3.08% |
| | 14：16 | 8 | 明细 | |

| 所有股票动向 | 超级大单 | - | 拖拉机单 | 主力撤单 |
|-|-|-|-|-|
| | 凹买入 | | | 卖出 |
| 查看解释 | 提示时间 | | 卖单（次数） | 涨幅> |
| | 14：15 | 6 | 明细 | -3.67% |
| | 14：01 | 3 | 明细 | |
| | 14：00 | | 明细 | |
| | 13：50 | 3 | 明细 | -0.61% |
| | 13：46 | | 明细 | 0.00% |
Level2黄金版功能详解（五）超级大单

TLevel2黄金版功能详解（五）超

超级大单委托微量超大的挂服都为大主力所为

指李托教量超大时挂电一股都为大王力所大

福洋包名有专家的易场老加物4特务费水专设训视者商堂超大里限福暖市票济道楼

原证限保保部配康夜谐品O国4

电蜻蜓点金

又益类的投资者，如您不符合要求，建议

oo Q 搜索股票

Q搜索股票

开户 一键打新 自选 靖蜓管家 业务办理

键打新

业务办理

在线顾问

融资融券

数据中心

在线顾问 融资融券 基金 数据中心 福利专区

福利专区

国 8

仙人涨

发现 仙人涨 选股中心 资讯 更多

选股中心

内参

巷股通视频早报上线啦

每日最新港股通资讯全呈现

每日最新港股通资讯全呈现 点击播放

点击播放

财联社6 月2 3 日讯，恒指涨幅扩大至2 % ，恒

价

AI内参|13:03|6413历史新高！短线宝竟然有11只股票3日...**医疗4天3板，5家公司3日涨超15%，金融产品|10:4516325中欧基金全明星FOF来袭！一键捧回“蝉联6年金牛奖的基金公司内部精选家10:23B3829~行情投顾理财交易

| 自选 | 市场揭秘 | Q问 | - |
|-|-|-|-|
| 沪深 | 创 | 持仓 | 工具 |
| | 最新价 | | 涨幅> |
| | 14.13 | -0.77% | |
| | 3.217 | | |
| | 4.779 | | |
| | 7.581 | | |
| | 3.258 | -0.06% | |
| | 4.934 | -1.32% | |

揭秘 问

市场 Q

自选市场

自选

主力撤单

所有股票动向 超级大单 拖拉机单 主力撤单

拖拉机单

超级大单

凹买入 卖出

查看解释 次数）幅 买单（总量）买单（

买单（总量）买单（

查看解释次数）

明细

明细

| 明细 | 2.78% |
|-|-|
| |         |
| 明细 | -0.20% |
| |         |
| |         |
| 明细 | -0.81% |
| |         |
| 明细 | -0.61% |
| |         |
| 明细 | -0.97% |
Lv.2 黄金版功能详解 5.超级大单从不掩饰野心的超级主力在哪里超级大单是指委托数量超 大的挂单一般多为大主力所为超大单是根据股价总流通股数成交数量等来划分的可以参考 以下的区分标准但标准也会针对不同规模流通盘而做适度的调整通过跟踪这些挂单的成交 情况从而帮助我们发现大主力的踪迹及意图打开清评点金 APP 进入行情页的揭秘专栏找到 超级大单分为买入和卖出该功能会展现出今日超级大单出现的时间次数总量及总额通过点 击明细可以查看今日超级大单提示明细包含提示时间买单总量买单总额等我们来看个在买 入菜单栏下的具体例子某日股票 A 字 10.04 分起被超级大单捕捉到累计 11 次的买入信号 点击明细可以看到股票 A 超大单的具体买入信息每次的买单金额巨大此时我们来关注下股 票 A 当日的分时走势图可以看到价格一路走高主力买入决心坚定最终在 13.19 分涨停与买 入相对的则是卖出股票 B 某日被超级大单捕捉到累计 5 次的大单卖出点击明细我们可以看 到每一笔的提示时间及卖单情况当日虽收涨 3.88%但可能已有大主力布局离场次亿交易日 股票币从 11.20 分起有 4 笔超级大单卖出提示在该股的当日走势图中可以看到主力离场后 一路下行最终收跌 1.68%因此大家在日常交易中可以借助 Level 2 黄金板栏快速定位从不 掩饰野心的超级主力们也许会让我们发现更多的信息以上就是今天超级大单的功能详解你 学会了吗请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
| 自选市场 | 揭秘 | - | Q | 、问 |
|-|-|-|-|-|
| 所有股票·大单 | 拖拉机单 | | 主力撤单 | |
| 撤买 | | | 日撤卖 | |
| 查看解释 | 提示时间 | | 撤买（次数） | 涨幅> |
| | 14:46 | 89 | 明细 | |
| | 14:46 | 6 | 明细 | -1.60% |
| | 14:46 | 16 | 明细 | |
| | 14:46 | 514 | 明细 | 1374.989 |
| | 14:46 | 66 | 明细 | -0.62% |
| | 14:46 | | 明细 | |
| | 14:46 | 2 | 明细 | 0.63% |

一

| 自选市场 | 揭秘 | - | Q问 | - |
|-|-|-|-|-|
| 所有股票大单 | 拖拉机单 | | 主力撤单 | |
| 撤买 | | | 撤卖 | |
| 查看解释 | 提示时间 | | 撤买（次数） | 涨幅> |
| | 14:46 | 27 | 明细 | |
| | 14:46 | 15 | 明细 | |
| | 14:46 | 162 | 明细 | -3.58% |
| | 14:46 | 118 | 明细 | |
| | 14:46 | 48 | 明细 | |
| | 14:46 | 14 | 明细 | |

| 自选 | 市场 | 揭秘 | Q间 |
|-|-|-|-|
| 所有股票大单 | | 拖拉机单 | 主力撤单 |
| 撤买 | | | 撤卖 |
| 查看解释 | | 涨幅 | 撤买（总量）撤买（总额） |

5S

-3.58%

| 提示时间 | 撤买（总量） | 撤买（总额） |
|-|-|-|
| 14：56 | | |
| 14：54 | | |
| 14：40 | | |
| 14：37 | | |
| 14：00 | | |
| 13：45 | | |

所有股票大单拖拉机单主力撤单撤买撤卖查看解释提示时间撤买（次数）涨幅>

主力撤单

所有股票大单 拖拉机单 主力撤单

拖拉机单

撤买 撤卖

查看解释 提示时间 撤买（次数）涨幅>

提示时间

撤买（次数）

查看解释

惊活跃
Level2黄金版功能详解(Y)主力撤单

Level2黄金版功能详解（六）主力

根据Level2盘口撒单数据还原撤买或撒卖真买信息寻找撤单量及撤单金额巨大的异常个股，

琪电眼金新

大额单防名产#

益类的投资者，如您不符合要求，建议

益类的投资者，如您不符合要求，建议

Q 搜索股票

Q 搜索股票

田

+

业务办理

蜻蜓管家

键打新

开户 一键打新 自选 蜻蜓管家 业务办理

开户 一键打新 自选 蜻蜓管家 业务办理

福利专区

数据中心

融资融券

在线顾问

在线顾问 融资融券 基金 数据中心 福利专区

在线顾问 融资融券 基金 数据中心 福利专区

国 8

选股中心

仙人涨

发现 仙人涨 选股中心 资讯 更多

发现 仙人涨 选股中心 资讯 更多

港股通视频早报上线啦

港股通视频早报上线啦

每日最新港股通资讯全呈现 点击播放

每日最新港股通资讯全呈现 点击播放?

财联社6 月2 3 日讯，恒指涨幅扩大至2 % ，恒. . .

财联社6 月2 3 日讯，恒指涨幅扩大至2 % ，恒.

内参 更多>

A I 内参1 3 : 0 3 | 明6 4 1 3

历史新高！短线宝竟然有1 1 只股票3 日.

* * 医疗4 天3 板，5 家公司3 日涨超1 5 % ，

金融产品1 1 0 : 4 5 | 明6 3 2 5

中欧基金全明星F O F 来袭！一键捧回“

蝉联6 年金牛奖的基金公司内部精选

3829

蜻蜓管家 L10:23 3829

M

行情 投顾 理财 交易

| 自选 | 市场 | 揭秘 | Q问 | - |
|-|-|-|-|-|
| 沪 | 深 | 创 | 持仓 | 工具 |
| |        | 最新价 | | 涨幅> |
| |        | 14.13 | -0.77% | |
| |        | 3.217 | | |
| |        | 4.779 | | |
| |        | 7.581 | | |
| |        | 3.258 | -0.06% | |
| |        | 4.934 | -1.32% | |
| - | 所有股票大单 | 拖拉机单 | 主力撤单 | - |
|-|-|-|-|-|
| | 撤买 | | | 撤卖 |
| ?查看解释 | 提示时间 | | 撤买（次数） | 涨幅 |
| | 14：46 | 27 | 明细 | |
| | 14：46 | 15 | 明细 | |
| | 14：46 | 162 | 明细 | -3.58% |
| | 14：46 | 118 | 明细 | 111.110/6 |
| | 14：46 | 48 | 明细 | |

| 所有股票大单 | 拖拉机单 | - | 主力撤单 | - |
|-|-|-|-|-|
| | 撤买 | | 撤卖 | |
| 查看解释 | 提示时间 | | 撤卖（次数） | 涨幅> |
| | 14：46 | 4 | 明细 | -5.63% |
| | 14：46 | 9 | 明细 | |
| | 14：46 | 17 | 明细 | |
| | 14：46 | 6 | 明细 | |
| | 14：46 | 2 | 明细 | |

量驾创情饰
| - | 高低11.61日K五日 | 周K | 量338.50万开换12.36%额41.25亿分钟月K | 更多 |
|-|-|-|-|-|
| |                    | | +9.3 | 明细 |
| 12.99 | | | 卖101.08F | 1.08万 |
| |                    | | 卖9卖8 | 842（1316 |
| |                    | | 卖7 | 1415 |
| |                    | | 卖6 | 7643 |
| |                    | | 卖5 | 3336 |
| |                    | |                                        | 236 |
| | 随着卖盘的撤单 | ，个股 | 设股价一路工 | 2957 |

升，收涨于8 . 5 9 % 。297

6086 卖1

最价一嘴上进，

| - | 高低11.61五日日K | 周K | 开量338.50万换12.36%额41.25亿月K分钟 | 更多 |
|-|-|-|-|-|
| 12.99 | | | +9.3 | 明细 |
| |                    | | 卖10卖9 | 1.08万8420 |
| |                    | | 卖8 | 1316 |
| |                    | | 卖7 | 1415 |
| |                    | | 卖6 | 7643 |
| |                    | | 卖5 | 3336 |
| | 随着卖盘的撤单，个 | 股本 | 设价一路上 | 2367 |

2957

升，收涨于8 . 5 9 % 。

297.

卖1 5086
Live2 黄金版功能详解 6. 主力撤单是否有打着向前冲的旗号但悄悄后退的主力呢主力撤单 功能是根据 Live2 盘口撤单数据还原撤买或撤卖真实信息寻找撤单量及撤单金额巨大的异 常个股大额封单的主力撤单常常代表着主力进攻方向的反转打开蜻蜓点金 APP 在行情页的 揭秘处可以看到黄金版 Live2 主力撤单下分为撤买和撤卖两大栏每个菜单下会展现今日主 力撤单出现的时间次数总量及总额通过点击明细可以查看今日主力撤单提示明细信息包含 提示时间撤买总量撤买总额对于主力撤买频繁出现的个股可以留意一下主力成交的实际情 况如果卖方成交异常活跃那很有可能是主力在出货此时大家应该警惕风险了我们来看个具 体案例某日,股票 A 在盘中发出高达 261 次的主力撤买提示点击明细,发现撤买的委托数量 和金额都较大当日虽收涨 6.76%,但是主力频繁的撤买步伐里似乎暗藏玄机次一交易日,股 票 A 一改昨日上涨态势,一路低走,最终收跌 7.84%与主力撤买相对应的则是撤卖对于主力 撤卖频繁出现的个股此时可以留意一下主力成交的实际情况如果买方成交异常活跃那很有 可能是主力在吸筹比如某日多只股票频繁发出撤卖信号股票币当天主力累计撤卖单高达 40 单撤卖总量达 113839 手点击明细可以看到自开盘起就不断有主力在撤卖单随着卖盘的 撤单股票币当日股价一路上涨收涨于 8.59%因此即便是主力大步向前冲我们也需要多留意 一下它有没有迷惑大众悄悄撤单借助黄金版 LV2 主力撤单功能让我们尽可能识别反转进攻 方向的主力今天的主力撤单功能你学会了吗
| 所有股票大单 | 拖拉机单 | 主力撤单 | 撤单 | - |
|-|-|-|-|-|
| | 撤买 | | 日撤卖 | |
| 查看解释 | 提示时间 | 撤买（次数） | | 涨幅 |
| | 13：00 | 261 | 明细 | 6.769h |
| | 13：09 | 173 | 明细 | |

13:00

13:00261

261明细

13:00 261 明细

提示时间

提示时间 撤买（总量）撤买（总额）

撤买（总量）

撤买（总额）

13:00

13:00

11:28

11:28

11:13

1.

14.82

量155.85万

高15.81

高1 5 . 8 1 开1 5 . 8 1 量1 5 5 . 8 5 万

开15.81

更

多

低1 4 . 8 2 换5 . 3 0 % 额2 3 . 7 3 亿

换5.30%额23.73亿

-1.26-7.84%

-1.26-7.84%低14.82

分时 5 日 周K 月K 分钟

MA5:15.1010:14.6720:14.90

16.59

16.59

15.26

13.93 13.97

13.93

| 追踪 | 资金动向超级大单 | - | 拖拉机单 | 主力撤单 |
|-|-|-|-|-|
| | 撤买 | | 日撤卖 | |
| 查看解释 | 提示时间 | | 撤卖（次数） | 撤卖（总量）） |
| | 14：56 | 40 | 明细 | 113839 |
| | 14：52 | 40 | 明细 | 96547 |
通过对1还原真实成支量，#

升28.69重31.38万更多低28.66换0.82%额9.25亿

5日日K周K月K分钟o

30.00 +4.17% 明细

30.00

卖10

卖1 0 215

卖9

5526

卖8 1675

1675

卖7 513

卖6 247

卖5 326

卖4 386

卖3 134

卖2 360

卖1 129

-4.17%

叠加1 5 : 0 0 买1 24

09:30

买2 252

成交量 现量5 9 4 . 0 0

1 . 3 6 万 买3 213

1.36万

买4 238

买5 150

买6 192

卖一 1 2 9 买一 23.91 2 4 买7 217

129买一

24买7

买8 62

1 1 10

通过对level2委托数据监控实时测算张停所需资金规模

蜻烟点全：

OK周K分钟
Level2黄金版辅助功能三大财富神助攻

黄金版.evel2辅助功能三大财富神

高丰

e v e l 2 黄金版l e v e l 2 黄金版_ e v e l 2 黄金版

功能详解

功能件解 功能译解

[ 三)

主力追踪 资金动向 急速拉升

资金动向

急速拉升

L e v e l 2 黄金版L e v e l 2 黄金版L e v e l 2 黄金H

Level2黄金版Level2黄金版Level2黄金片功能年解功能详解功能详解五1拖拉机单超级大单主力撤单

功能年解 功能洋解 功能详解

拖拉机单 超级大单 主力撤单

润攻

三大“神助攻

资金博奔】【涨停承压）

通过对盆中level2委托大单数据监控计算委头大单和委卖大单之间的资金额度差获得大单净额

一又益类的投资者，如您不符合要求，建议

Q 搜索股票

+

开户 一键打新 自选 蜻蜓管家 业务办理

蜻蜓管家

业务办理

在线顾问 融资融券 基金 数据中心 福利专区

在线顾问

融资融券

数据中心

福利专区

国 8

仙人涨

发现 仙人涨 选股中心 资讯 更多

选股中心

港股通视频早报上线啦

每日最新港股通资讯全呈现

点击播放

每日最新港股通资讯全呈现 点击播放?

财联社6 月2 3 日讯，恒指涨幅扩大至2 % ，恒. . .

内参

内参

AI内参13:036413历史新高！短线宝竟然有11只股票3日.**医疗4天3板，5家公司3日涨超15%，金融产品10：456325中欧基金全明星FOF来袭！一键捧回“蝉联6年金牛奖的基金公司内部精选

晴管家|10:233829行情投顾理财交易

| 0 | 1 | 2 | 3 |
|-|-|-|-|
| 自选市场揭秘 | 问 | | 515 |
| 3530.11 | | | 白 |
| 沪深创 | -0.84% | 持仓 | 工具 |
| +最新价o | 涨幅> | | |
| 29.92 | | | |
| 2.418 | -0.25% | | |
| 1.633 | | | |
| 14.28 | -0.83% | | |
| 3.423 | -0.93% | | |
| 4.927 | | | |
卖5 326

卖4

卖3 136

卖2 360

卖1 65

-4.17%

叠加15:00

成交量

成交量594.00

594.00 买2 260

1 . 3 6 万 买3 213

1.36万

买4 238

买5 150

买6 192

卖一 6 5 买一 1 4 买7 217

14买7

65买一

2 10 1 买8 62

买9 70

买1 0 90

买10

更多

成交量

卖5 326

卖4

卖3 136

卖2 363

卖1 54

-4.17%

| 0 | 1 | 2 | 3 | 4 | 5 |
|-|-|-|-|-|-|
| 08-60 | | | 买1叠加15·00 | | 25 |
| | 净额 | 7957万累计7994万 | | 2 | 260 |
| |                      | |              | 3 | 213 |
| |                      | |              | 4 | 248 |
| |                      | |              | 5 | 150 |
| |                      | |              | 6 | 192 |
| 卖一 | | 65买一 | 14买7 | | 217 |
| 210 | | 1 | | 买8 | 62 |
| |                      | |              | 买9 | 70 |
| 22 | | 2 | | | |
| 61 | | 3 | 买10更多 | | 90 |
| |                      | |              | 查看更多 | |
| | 中信建投涨停所需资金 | 1.62亿 | | 筹码分布短线宝 | |
| 货币资金 | 新闻 | 公告 | | 研报诊断 | |
| 士要指标 | | 冬粘坦 | | | |

大单净额▼大单净额7957万累计7994万

通过对leve逐笔成交数据的监控还原真实成交量，可细分大超大、大、中、小单井追踪其运动轨迹

通过对eve逐笔成交数据的监控还原真实成交量，可细分为超大大中小单井追踪其运动轨迹
| 0 | 1 | 2 | 3 | 4 |
|-|-|-|-|-|
| 30.00 | | | +4.17% | 明细 |
| |            | | 卖10 | 215 |
| |            | | 卖9 | 5526 |
| |            | | 卖8 | 1675 |
| |            | | 卖7 | 513 |
| |            | | 卖6 | 247 |
| |            | | 卖5 | 326 |
| |            | | 卖4 | 386 |
| |            | | 卖3 | 134 |
| |            | | 卖2 | 360 |
| |            | | 卖1 | 129 |
| |            | | -4.17% | |
| 09：30 | | | 叠加15：00买1 | 24 |
| 成交量 | 现量594.00 | | 买2 | 252 |
| 1.36万 | | | 买3 | 213 |
| |            | | 买4 | 238 |
| |            | | 买5 | 150 |
| |            | | 买6 | 192 |
| 卖一 | | 129买一 | 24买7 | 217 |
| 1 | 1 | 10 | 买8 | 62 |
| |            | | 买9 | 70 |
| 3 | 10 | 1 | | |
| 44 | 10 | 1 | 买10更多 | 90 |
| |            | |               | 查看更多 |

卖5 326

卖4 383

卖3 136

大单净额大单净额7 9 5 7 万累计7 9 9 4 万

大单净 260

买4 248

买5 150

买6 192
| 0 | 1 | 2 | 3 | 4 | 5 |
|-|-|-|-|-|-|
| |     | 65买 | | 买7 | 217 |
| 2 | 10 | 1 | | 买8 | 62 |
| |     | |      | 买9 | 70 |
| 2 | 2 | 2 | | | |
| 6 | 1 | 3 | | 更多买10 | 90查看更多 |
| |     | 张停中需分老192记 | | 筹码分布 | 短线宝 |
| 货币资金 | | | 公告 | 护报 | 诊干 |

大单净额大单净额·大单净额7957万累计7994万

资金博奔

资金博弈超0.35亿大0.45亿中-0.02亿小-0.77亿

涨停承压

工欲善具事必先利其器

不民

Live2 黄金版三大财富神助攻 Live2 黄金版不仅有前面为大家介绍的六大高手功能还有不 可忽视的三大神助攻辅助我们获得更多信息 1.大单净额大单净额是指通过对盘中 Live2 委 托大单数据监控计算为买大单和未卖大单之间的资金额度差获得大单净额打开蜻蜓点金 APP 进入个股详情页在分时图中点击成交量选择大单净额指标即可看到大单净额曲线的走 向当曲线向上时说明主力正在进行为买挂单主力处于买入状态当曲线向下时说明主力正在 进行为卖挂单主力处于卖出状态二 资金博弈资金博弈是指通过对 Level 2 主笔成交数据的 监控还原真实成交量可以细分为超大、大、中、小单并追踪其运动轨迹打开蜻蜓点进 APP 进入各股详情页在分时图中点击成交量选择资金博弈指标则可以看到代表超大、大、中、小单的四种不同颜色曲线当超大、大单资金曲线上传中、小单资金曲线说明主力在流入当 超大大单资金曲线下穿中小单资金曲线则说明主力在流出 3.涨停承压涨停承压是指通过 Level 2 委托数据监控实时测算涨停所需资金规模打开蜻蜓点金 APP 在个股详情页最下方 将会显示涨停承压所需资金量以上就是黄金版 Level 2 的三个小助手的全部介绍了公寓善 其事 必先利其器相信大家在熟练运用这些神秘武器之后一定能在古诗中有所掌握
| 5日 | 日K | 高低28.66周K | 开28.69换0.82%月K | 量31.38万额9.25亿分钟 | 更多 |
|-|-|-|-|-|-|
| 30.00 | | | +4.17% | | 明细 |
| |                   | |                     | 卖10 | 215 |
| |                   | |                     | 卖9 | 5526 |
| |                   | |                     | 卖8 | 1675 |
| |                   | |                     | 卖7 | 513 |
| |                   | |                     | 卖6 | 247 |
| |                   | |                     | 卖5 | 326 |
| |                   | |                     | 卖4 | 386 |
| |                   | |                     | 卖3 | 134 |
| |                   | |                     | 卖2 | 360 |
| 27160r | | | -4.17% | 卖1 | 129 |
| 09：30 | | | 15：00买1叠加 | | 24 |
| | 成交量▼现量594.00 | | | 买2 | 252 |

卖5 326

卖4

卖3 136

卖2 360

卖1 65

-4.17%

买1 14

叠加1 5 : 0 0

0.00

成交量

594.00 买2 260

594.00

1.36万

1 . 3 6 万 买3 213

买4 238

买5 150

买6 192

卖一 1 2 9 买一 2 4 买7 217

24买7

129买一

1 1 10 买8 62

买9 70

3 10 1

买1 0 06

买10

更多

44 10 1

查看更多

筹码分布 短线宝
| 超级VIP要素表——点金投精简版，３款AI选股工具+1款内参资讯（相关数据更新至2024.8.27） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 操作要求 | 18 | 付费方式 | 资金账户可用资金 |

| 超级VIP要素表——点金投精简版，３款AI选股工具+1款内参资讯（相关数据更新至2024.8.27） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 操作要求 | 19 | 签约途径 | 支付宝APP-搜索-中信建投超级VIP |

| 超级VIP要素表——点金投精简版，３款AI选股工具+1款内参资讯（相关数据更新至2024.8.27） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 操作要求 | 20 | 可签约时间 | 后端签约：7*24小时签约 |

| 超级VIP要素表——点金投精简版，３款AI选股工具+1款内参资讯（相关数据更新至2024.8.27） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 操作要求 | 21 | 生效时间 | 立即生效 |

| 超级VIP要素表——点金投精简版，３款AI选股工具+1款内参资讯（相关数据更新至2024.8.27） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 操作要求 | 21 | 销售平台 | 支付宝 |

| 超级VIP要素表——点金投精简版，３款AI选股工具+1款内参资讯（相关数据更新至2024.8.27） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 操作要求 | 22 | 解约时间 | 后端签约可在交易时间解约。支付宝APP-搜索-中信建投超级VIP-盘中-订单管理-退订 |
| 超级VIP要素表——点金投精简版，３款AI选股工具+1款内参资讯（相关数据更新至2024.8.27） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 操作要求 | 23 | 风险提示 | 相关信息仅供参考，不构成具体投资建议，不作为股票推荐，亦不构成对证券市场及具体证券标的走势的预判或保证。市场有风险，投资需谨慎。投资者不应将本资讯作为投资决策的唯一参考因素，亦不应以本资讯取代自己的判断。请您充分考量投资风险，及时关注相关证券关键信息，合理控制仓位，分散风险，自主、审慎、独立作出投资决策，并承担投资结果及损益。股市有风险，投资需谨慎。 |

| 超级VIP要素表——点金投精简版，３款AI选股工具+1款内参资讯（相关数据更新至2024.8.27） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 相关业务咨询个金部：盛棋、陈凯旋。企业微信扫码加入“智能投顾销售业务答疑群”了解活动通知、使用方法、操作疑问等。扫码>>> | 23 | 风险提示 | 相关信息仅供参考，不构成具体投资建议，不作为股票推荐，亦不构成对证券市场及具体证券标的走势的预判或保证。市场有风险，投资需谨慎。投资者不应将本资讯作为投资决策的唯一参考因素，亦不应以本资讯取代自己的判断。请您充分考量投资风险，及时关注相关证券关键信息，合理控制仓位，分散风险，自主、审慎、独立作出投资决策，并承担投资结果及损益。股市有风险，投资需谨慎。 |
| 超级VIP要素表——点金投精简版，３款AI选股工具+1款内参资讯（相关数据更新至2024.8.27） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 基本信息 | 6 | 产品亮点 | 1、精选AI模型多维选股，专业投顾+4大策略全天抓取机会 |
| |              | | 2、价值18474元的产品，可开通不收费，先体验后付费，不满意随时解约 |
| |              | | 3、产品使用人数超15万人，更多投资者选择用AI决策工具辅助投资 |

| 超级VIP要素表——点金投精简版，３款AI选股工具+1款内参资讯（相关数据更新至2024.8.27） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 基本信息 | 7 | 如何正确应用 | 使用方法：产品的核心用法就是帮助我们及时获取一线资讯，有效挖掘短期投资机会并获悉个股的股价波动边界，以及低波动的ETF投资策略。在指数上涨或交投活跃期间，可参考涨停雷达、盘中宝及安心投等精选内容，精准把握投资机会，同时可借助撑压信号协助您高效做波段。而面对行情不佳或交投低迷之时，则宜采取保守策略，减少操作频率，静待行情回暖。 |
| |              | | 查看方式：支付宝APP-搜索-【中信建投超级VIP】查看消息及相关投资机会。 |
| |              | | 注意事项：产品核心算法是AI机器学习，取整体最优解，非个体最优解。所以并非每只个股都盈利，因此切勿重仓单一个股，需分散仓位。 |

| 超级VIP要素表——点金投精简版，３款AI选股工具+1款内参资讯（相关数据更新至2024.8.27） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 基本信息 | 8 | 目标客户画像 | 【没有投资体系的新手】、【喜欢做热点或主题投资的老手】、【专注投资研究或基本面研究的投资者】 |
| 超级VIP要素表——点金投精简版，３款AI选股工具+1款内参资讯（相关数据更新至2024.8.27） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 基本信息 | 12 | 主要收费标准 | 后端佣金付费。签约期内客户进行证券交易时，普通资金账户中每笔交易均按交易额的0.8‰额外收取服务费用(不含交易佣金等费用)。服务费用的收取不限投资顾问建议标的，不限交易方向。 |

| 超级VIP要素表——点金投精简版，３款AI选股工具+1款内参资讯（相关数据更新至2024.8.27） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 基本信息 | 13 | 产品上线时间 | 2025-07-01 00:00:00 |

| 超级VIP要素表——点金投精简版，３款AI选股工具+1款内参资讯（相关数据更新至2024.8.27） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 操作要求 | 14 | 风险等级 | 中等风险，稳健型、积极型、激进型的投资者可订阅。 |

| 超级VIP要素表——点金投精简版，３款AI选股工具+1款内参资讯（相关数据更新至2024.8.27） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 操作要求 | 15 | 销售客户适当性要求 | 风险承受能力为中等及以上，投资品种为权益类 |

| 超级VIP要素表——点金投精简版，３款AI选股工具+1款内参资讯（相关数据更新至2024.8.27） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 操作要求 | 16 | 服务范围 | 内容涉及上证、深证市场股票，包括主板、创业板、科创板及北交所股票 |

| 超级VIP要素表——点金投精简版，３款AI选股工具+1款内参资讯（相关数据更新至2024.8.27） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 操作要求 | 17 | 账户要求 | 中信建投证券资金账户 |
| 超级VIP要素表——点金投精简版，３款AI选股工具+1款内参资讯（相关数据更新至2024.8.27） | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 |
|-|-|-|-|
| 基本信息 | 9 | 服务内容 | 盘中宝（13888元/年）：前瞻市场热点，解读重磅政策、追踪重大突发题材、跟踪热门产业链； |
| |              | | 涨停雷达（1599元/年）：每个交易日9:30，通过AI筛选4只个股，跟踪T+3个交易日； |
